run_id,label,total_events,duration_sec,events_per_sec,inter_event_mean,inter_event_std,burst_max_per_sec,burstiness,distinct_dest_ports,distinct_src_ports,ports_per_event,frac_on_top_port,distinct_protocols,n_login_fail,n_login_success,n_commands,n_command_failed,n_sessions,n_file_downloads,distinct_commands,n_auth_other,n_http_events,n_web_80,n_web_8080,distinct_web_paths,n_suricata_alerts,n_suricata_flows,n_alert_sev_high,n_alert_sev_info,distinct_signatures,any_login_attempt,any_login_success,any_command_run,any_file_download,any_web_request
B027,online_guessing,138,19.0,7.2632,0.1387,0.3661,56,7.71,2,30,0.01449,0.6032,3,60,0,0,0,5,0,0,0,0,0,0,0,1,25,0,1,1,1,0,0,0,0
B028,online_guessing,999,626.0,1.5958,0.6273,0.4938,22,13.698,2,25,0.002,0.9965,4,619,1,0,0,31,0,0,0,0,0,0,0,4,32,2,2,2,1,1,0,0,0
B029,online_guessing,1063,153.0,6.9477,0.1441,0.3512,52,7.533,1,40,0.00094,1.0,2,599,1,0,0,41,0,0,0,0,0,0,0,1,24,0,1,1,1,1,0,0,0
B030,online_guessing,62,12.0,5.1667,0.1967,0.3975,35,7.339,1,7,0.01613,1.0,2,23,1,0,0,3,0,0,0,0,0,0,0,1,4,1,0,1,1,1,0,0,0
D001,denial_of_service,39791,91.0,437.2637,0.0023,0.1988,3643,4.944,1,15211,3e-05,1.0,1,0,0,0,0,0,0,0,0,0,39791,0,0,9560,8295,0,9560,2,0,0,0,0,0
D002,denial_of_service,75967,82.0,926.4268,0.0011,0.1754,6962,3.299,1,17463,1e-05,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,13448,13352,1,13447,3,0,0,0,0,0
D003,denial_of_service,88668,147.0,603.1837,0.0017,0.274,7123,2.892,3,19428,3e-05,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,17583,17567,0,17583,3,0,0,0,0,0
D004,denial_of_service,53511,82.0,652.5732,0.0015,0.2133,4064,2.658,1,9903,2e-05,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,9695,9695,0,9695,2,0,0,0,0,0
D005,denial_of_service,85098,87.0,978.1379,0.001,0.1458,6424,3.548,1,33462,1e-05,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,21383,21172,1,21382,3,0,0,0,0,0
D006,denial_of_service,72715,131.0,555.0763,0.0018,0.2579,7589,3.757,2,15926,3e-05,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,20200,10340,9710,10490,3,0,0,0,0,0
D007,denial_of_service,91607,82.0,1117.1585,0.0009,0.163,7416,2.833,1,19065,1e-05,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,16554,16514,1,16553,3,0,0,0,0,0
D008,denial_of_service,93999,84.0,1119.0357,0.0009,0.1546,10402,4.316,1,24051,1e-05,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,19080,18651,0,19080,3,0,0,0,0,0
